2025-06-05 15:30:06 | INFO | __main__:main:178 | === 威胁情报RAG系统完整示例 ===
2025-06-05 15:30:06 | INFO | __main__:main:189 | 0. 创建示例威胁情报文档
2025-06-05 15:30:06 | INFO | __main__:create_sample_threat_docs:172 | 已创建 4 个示例威胁情报文档
2025-06-05 15:30:06 | INFO | __main__:main:193 | 1. 初始化威胁情报RAG引擎
2025-06-05 15:30:06 | INFO | src.vector_store.embedder:_load_model:54 | 加载Sentence Transformer模型: embedding-3
2025-06-05 15:30:07 | ERROR | src.vector_store.embedder:_load_model:81 | 模型加载失败: sentence-transformers/embedding-3 is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`
2025-06-05 15:30:07 | ERROR | src.rag_engine.rag_engine:_init_components:95 | 初始化RAG组件失败: sentence-transformers/embedding-3 is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`
2025-06-05 15:30:07 | ERROR | __main__:main:453 | 示例运行失败: sentence-transformers/embedding-3 is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`
2025-06-05 15:33:05 | INFO | __main__:main:178 | === 威胁情报RAG系统完整示例 ===
2025-06-05 15:33:05 | INFO | __main__:main:189 | 0. 创建示例威胁情报文档
2025-06-05 15:33:05 | INFO | __main__:create_sample_threat_docs:172 | 已创建 4 个示例威胁情报文档
2025-06-05 15:33:05 | INFO | __main__:main:193 | 1. 初始化威胁情报RAG引擎
2025-06-05 15:33:05 | INFO | src.vector_store.embedder:_load_model:65 | 配置ZhipuAI嵌入模型: embedding-3
2025-06-05 15:33:05 | INFO | src.vector_store.embedder:_load_model:88 | 模型加载成功，嵌入维度: 2048
2025-06-05 15:33:05 | INFO | src.vector_store.milvus_store:_connect:62 | 成功连接到Milvus: localhost:19530
2025-06-05 15:33:05 | INFO | src.vector_store.milvus_store:_create_collection:127 | 成功创建集合: threat_intel_rag
2025-06-05 15:33:06 | INFO | src.vector_store.milvus_store:_create_index:150 | 成功创建向量索引: IVF_FLAT
2025-06-05 15:33:10 | ERROR | src.knowledge_graph.neo4j_client:_connect:46 | 连接Neo4j失败: Couldn't connect to localhost:7687 (resolved to ('127.0.0.1:7687', '[::1]:7687')):
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [WinError 10061] 由于目标计算机积极拒绝，无法连接。)
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [WinError 10061] 由于目标计算机积极拒绝，无法连接。)
2025-06-05 15:33:10 | ERROR | src.rag_engine.rag_engine:_init_components:95 | 初始化RAG组件失败: Couldn't connect to localhost:7687 (resolved to ('127.0.0.1:7687', '[::1]:7687')):
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [WinError 10061] 由于目标计算机积极拒绝，无法连接。)
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [WinError 10061] 由于目标计算机积极拒绝，无法连接。)
